,Close,Open,High,Low,Volume,Datetime_x,InterestRateGS10,CAPE,CPI,PPI,UNRATENSA,INDPRO
0,44.25,43.97,44.25,43.97,480500.0,1993-02-01,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
1,44.34,44.22,44.38,44.12,201300.0,1993-02-02,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
2,44.81,44.41,44.84,44.38,529400.0,1993-02-03,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
3,45.0,44.97,45.09,44.88,531500.0,1993-02-04,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
4,44.97,44.97,45.06,44.72,492100.0,1993-02-05,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
5,44.97,44.97,45.12,44.91,596100.0,1993-02-08,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
6,44.66,44.81,44.81,44.56,122100.0,1993-02-09,6.26,20.54533679290045,141.9,117.6,7.1,64.3599
7,44.72,44.66,44.75,44.53,379600.0,1993-02-10,6.26,20.54533679290045,142.6,118.0,8.0,64.3599
8,44.94,44.78,45.12,44.78,19500.0,1993-02-11,6.26,20.54533679290045,142.6,118.0,8.0,64.3599
9,44.59,44.88,44.88,44.59,42500.0,1993-02-12,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
10,43.47,44.47,44.47,43.41,374800.0,1993-02-16,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
11,43.44,43.47,43.53,43.28,210900.0,1993-02-17,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
12,43.41,43.94,43.94,42.81,378100.0,1993-02-18,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
13,43.56,43.41,43.56,43.34,34900.0,1993-02-19,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
14,43.72,43.69,43.78,43.56,513600.0,1993-02-22,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
15,43.69,43.84,43.88,43.47,373700.0,1993-02-23,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
16,44.25,43.72,44.25,43.72,26300.0,1993-02-24,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
17,44.34,44.22,44.38,44.12,44500.0,1993-02-25,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
18,44.41,44.44,44.44,44.19,66200.0,1993-02-26,6.26,20.54533679290045,142.6,118.0,8.0,64.6135
19,44.28,44.56,44.56,44.22,66500.0,1993-03-01,5.98,20.85520014869092,142.6,118.0,8.0,64.6135
20,44.94,44.31,44.94,44.25,182400.0,1993-03-02,5.98,20.85520014869092,142.6,118.0,8.0,64.6135
21,45.12,45.0,45.16,44.94,280100.0,1993-03-03,5.98,20.85520014869092,142.6,118.0,8.0,64.6135
22,44.88,45.19,45.19,44.88,89500.0,1993-03-04,5.98,20.85520014869092,142.6,118.0,8.0,64.6135
23,44.75,44.94,45.12,44.72,40000.0,1993-03-05,5.98,20.85520014869092,142.6,118.0,8.0,64.6135
24,45.75,44.84,45.75,44.84,50800.0,1993-03-08,5.98,20.85520014869092,142.6,118.0,7.8,64.6135
